风萧萧兮易水寒，壮士一去兮不复还。  ──佚名《荆轲歌 / 渡易水歌》
枣花至小能成实，桑叶虽柔解吐丝。  ──王溥《咏牡丹》
旧游无处不堪寻。无寻处，惟有少年心。  ──章良能《小重山·柳暗花明春事深》
昨夜斗回北，今朝岁起东。  ──孟浩然《田家元日》
去年射虎南山秋，夜归急雪满貂裘。  ──陆游《三月十七日夜醉中作》
古人今人若流水，共看明月皆如此。  ──李白《把酒问月·故人贾淳令予问之》
日啖荔枝三百颗，不辞长作岭南人。  ──苏轼《惠州一绝》
晚来天欲雪，能饮一杯无。  ──白居易《问刘十九》
正是浴兰时节动。菖蒲酒美清尊共。  ──欧阳修《渔家傲·五月榴花妖艳烘》
正雁水夜清，卧虹平帖。  ──吴文英《暗香·送魏句滨宰吴县解组分韵得阖字》
清明过了，不堪回首，云锁朱楼。  ──朱淑真《眼儿媚·风日迟迟弄轻柔》
芳树无人花自落，春山一路鸟空啼。  ──李华《春行即兴》
愿随孤月影，流照伏波营。  ──沈如筠《闺怨二首·其一》
淡淡梅花香欲染，丝丝柳带露初干。  ──曹雪芹《香菱咏月·其二》
酹酒苍茫，倚歌平远，亭上玉虹腰冷。  ──吴文英《十二郎·垂虹桥》
灯前目力虽非昔，犹课蝇头二万言。  ──陆游《读书》
落尽梨花春又了。满地残阳，翠色和烟老。  ──梅尧臣《苏幕遮·草》
月华今夜黑，全见梨花白。  ──杨基《菩萨蛮·水晶帘外娟娟月》
相逢唤醒京华梦，吴尘暗斑吟发。  ──詹玉《齐天乐·送童瓮天兵后归杭》
龙马花雪毛，金鞍五陵豪。  ──李白《白马篇》
路漫漫其修远兮，吾将上下而求索。  ──屈原《离骚》
重重叠叠上瑶台，几度呼童扫不开。  ──苏轼《花影》
内官初赐清明火，上相闲分白打钱。  ──韦庄《长安清明》
故国三千里，深宫二十年。  ──张祜《宫词·故国三千里》
挂席几千里，名山都未逢。  ──孟浩然《晚泊浔阳望庐山》
有孙母未去，出入无完裙。  ──杜甫《石壕吏》
北斗七星高，哥舒夜带刀。  ──西鄙人《哥舒歌》
挂席几千里，名山都未逢。  ──孟浩然《晚泊浔阳望庐山》
君歌杨叛儿，妾劝新丰酒。  ──李白《杨叛儿》
酿泉为酒，泉香而酒洌；  ──欧阳修《醉翁亭记》
正雁水夜清，卧虹平帖。  ──吴文英《暗香·送魏句滨宰吴县解组分韵得阖字》
夜阑风静欲归时，惟有一江明月碧琉璃。  ──苏轼《虞美人·有美堂赠述古》
帐底吹笙香吐麝，更无一点尘随马。  ──苏轼《蝶恋花·密州上元》
长风几万里，吹度玉门关。  ──李白《关山月》
